prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,year
愛知,351204,41134,79718,117022,139071,2015
愛媛,106727,8726,25533,41209,28055,2015
茨城,127963,9935,24933,42173,40319,2015
岡山,106828,16409,30091,30683,44838,2015
沖縄,153840,16461,59935,45487,41498,2015
岩手,61932,5878,17738,18250,22397,2015
岐阜,65045,3890,11891,21348,11929,2015
宮崎,87519,7804,18860,26935,28430,2015
宮城,111056,16879,32036,33540,52537,2015
京都,241902,53258,57676,72863,88722,2015
熊本,117793,12029,34946,40010,37430,2015
群馬,76065,5574,16152,22207,21399,2015
広島,179752,32340,66448,55864,70135,2015
香川,48326,6020,10145,17821,17233,2015
高知,98515,9996,21159,24940,30519,2015
佐賀,39854,2568,9690,15938,8256,2015
埼玉,401369,55895,90643,135587,169047,2015
三重,80514,9381,20750,25512,20374,2015
山形,35654,2401,8723,12838,12541,2015
山口,81827,6700,15482,23467,24935,2015
山梨,35144,2443,7527,8929,10447,2015
滋賀,42640,8701,11876,18716,16017,2015
鹿児島,138136,15960,36598,43313,52789,2015
秋田,75556,5716,14410,18999,25467,2015
新潟,83728,10206,27377,21834,46991,2015
神奈川,673196,106170,169515,190883,264621,2015
青森,158005,9728,35970,41395,41236,2015
静岡,142263,14542,33580,41056,52941,2015
石川,42577,2076,10650,11522,9451,2015
千葉,373134,42137,83562,122276,130212,2015
全国,9633729,1252111,2275660,3032776,3261996,2015
大阪,1395185,205028,344789,360401,378487,2015
大分,104578,7200,22676,24112,32814,2015
長崎,121887,16851,28454,49603,48641,2015
長野,51928,4389,17938,16884,16090,2015
鳥取,29879,3938,9908,10775,12579,2015
島根,24868,3192,8733,7314,12031,2015
東京,1378879,145598,268018,480566,488953,2015
徳島,67566,6157,11944,30036,14131,2015
栃木,93225,9768,24271,37215,32694,2015
奈良,89604,15079,18340,32082,22637,2015
富山,21235,689,4412,5085,5010,2015
福井,21066,1226,3878,5882,6702,2015
福岡,572075,74975,111776,184714,207568,2015
福島,77817,6232,22345,24621,25809,2015
兵庫,456346,71835,105557,157159,150097,2015
北海道,701000,132709,176231,239937,230685,2015
和歌山,88527,6288,12776,23773,17231,2015
