prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,date
愛知,33075,2496,7692,8245,10208,2022-01-01
愛媛,10150,480,2011,2220,1832,2022-01-01
茨城,13347,664,2509,3110,3659,2022-01-01
岡山,9594,912,2627,1950,3397,2022-01-01
沖縄,17581,1201,5132,3821,3383,2022-01-01
岩手,5731,354,1667,1063,1573,2022-01-01
岐阜,5996,255,1143,1268,936,2022-01-01
宮崎,8386,517,1564,1770,1824,2022-01-01
宮城,11755,1189,3584,2347,4414,2022-01-01
京都,21562,2830,5383,4138,7500,2022-01-01
熊本,11269,710,2997,1325,3108,2022-01-01
群馬,7654,321,1689,1586,1372,2022-01-01
広島,16198,1634,5830,3321,4416,2022-01-01
香川,4399,367,882,1053,1516,2022-01-01
高知,8554,442,1611,1248,2264,2022-01-01
佐賀,3843,150,773,917,613,2022-01-01
埼玉,41445,3344,10100,9254,13242,2022-01-01
三重,7267,529,1740,1568,1565,2022-01-01
山形,3583,173,800,995,1056,2022-01-01
山口,6866,336,1251,1310,1525,2022-01-01
山梨,3485,147,706,539,903,2022-01-01
滋賀,4041,505,1267,1364,1142,2022-01-01
鹿児島,12846,1029,2965,2263,3918,2022-01-01
秋田,6507,280,1203,1079,1726,2022-01-01
新潟,8247,694,2274,1704,3546,2022-01-01
神奈川,64228,5906,17521,12781,21584,2022-01-01
青森,14882,498,2897,2187,2979,2022-01-01
静岡,14448,1061,3232,2951,4588,2022-01-01
石川,3691,128,1041,555,724,2022-01-01
千葉,37775,2973,9296,8492,13119,2022-01-01
全国,906652,71367,212775,194887,250460,2022-01-01
大阪,126905,10303,32417,21954,26812,2022-01-01
大分,9757,424,1935,1383,2126,2022-01-01
長崎,11624,908,2121,2801,3340,2022-01-01
長野,4748,280,1667,1051,1289,2022-01-01
鳥取,2721,211,717,750,871,2022-01-01
島根,2378,186,688,373,775,2022-01-01
東京,125425,8451,26685,32185,38369,2022-01-01
徳島,6122,357,969,1794,1056,2022-01-01
栃木,9078,502,2260,2197,2469,2022-01-01
奈良,8060,789,1848,1820,1685,2022-01-01
富山,2005,75,454,442,540,2022-01-01
福井,2068,88,340,426,553,2022-01-01
福岡,53406,4652,9782,10748,15254,2022-01-01
福島,7861,436,1925,1729,2228,2022-01-01
兵庫,41913,4162,9517,10507,11422,2022-01-01
北海道,66335,7053,14972,16822,16677,2022-01-01
和歌山,7841,365,1091,1481,1362,2022-01-01
